COLLEGE_CODE_NAME,YEAR,FIRST_NAME,LAST_NAME,ROLE
UTAHSTATE,2026,Kristin,White,HEAD_COACH
UTAHSTATE,2026,Robert,Ladanyi,ASST_COACH
UTAHSTATE,2026,Olivia,Trautman,ASST_COACH
UTAHSTATE,2026,Brianna,Brooks,ASST_COACH
UTAHSTATE,2025,Kristin,White,HEAD_COACH
UTAHSTATE,2025,Robert,Ladanyi,ASST_COACH
UTAHSTATE,2025,Rachel,Slocum,ASST_COACH
UTAHSTATE,2024,Kristin,White,HEAD_COACH
UTAHSTATE,2024,Robert,Ladanyi,ASST_COACH
UTAHSTATE,2024,Rachel,Slocum,ASST_COACH
UTAHSTATE,2024,Daniel,Barclay,ASST_COACH
UTAHSTATE,2023,Kristin,White,HEAD_COACH
UTAHSTATE,2023,Robert,Ladanyi,ASST_COACH
UTAHSTATE,2023,Rachel,Slocum,ASST_COACH
UTAHSTATE,2022,Amy,Smith,HEAD_COACH
UTAHSTATE,2022,Erik,Lewis,ASST_COACH
UTAHSTATE,2022,Stephen,Hood,ASST_COACH
UTAHSTATE,2022,Abby,Hood,VOLUNTEER_ASST_COACH
UTAHSTATE,2021,Amy,Smith,HEAD_COACH
UTAHSTATE,2021,Erik,Lewis,ASST_COACH
UTAHSTATE,2021,Amanda,Wellick,ASST_COACH
UTAHSTATE,2021,Gracie,Kramer,VOLUNTEER_ASST_COACH
UTAHSTATE,2020,Amy,Smith,HEAD_COACH
UTAHSTATE,2020,Erik,Lewis,ASST_COACH
UTAHSTATE,2020,Amanda,Wellick,ASST_COACH
UTAHSTATE,2019,Amy,Smith,HEAD_COACH
UTAHSTATE,2019,Erik,Lewis,ASST_COACH
UTAHSTATE,2019,Whitnee,Johnson,ASST_COACH
UTAHSTATE,2018,Amy,Smith,HEAD_COACH
UTAHSTATE,2018,Erik,Lewis,ASST_COACH
UTAHSTATE,2018,Whitnee,Johnson,ASST_COACH
UTAHSTATE,2017,Nadalie,Walsh,HEAD_COACH
UTAHSTATE,2016,Nadalie,Walsh,HEAD_COACH
UTAHSTATE,2016,Josh,Nilson,ASST_COACH
UTAHSTATE,2016,Andi,Dolinsky-Webb,ASST_COACH
UTAHSTATE,2016,Brittney,Emmons,VOLUNTEER_ASST_COACH
UTAHSTATE,2015,Nadalie,Walsh,HEAD_COACH
UTAHSTATE,2015,Josh,Nilson,ASST_COACH
UTAHSTATE,2015,Andi,Dolinsky-Webb,ASST_COACH
UTAHSTATE,2015,Brittney,Emmons,VOLUNTEER_ASST_COACH
UTAHSTATE,2015,Kristen,Meyers,STUDENT_ASST_COACH
UTAHSTATE,2015,Katie,Rozzell,STUDENT_ASST_COACH
UTAHSTATE,2014,Nadalie,Walsh,HEAD_COACH
UTAHSTATE,2014,Josh,Nilson,ASST_COACH
UTAHSTATE,2014,Andi,Dolinsky-Webb,ASST_COACH
UTAHSTATE,2014,Brittney,Emmons,VOLUNTEER_ASST_COACH
UTAHSTATE,2014,Kristen,Meyers,STUDENT_ASST_COACH
UTAHSTATE,2014,Brittney,Mackins,STUDENT_ASST_COACH

